ABBOTTSFIELD,53.57613483,-113.3876336,1,2010,0
ABBOTTSFIELD,53.57460806,-113.3836278,2,2010,0
ABBOTTSFIELD,53.57359969,-113.3840549,3,2010,0
ABBOTTSFIELD,53.57290765,-113.3843706,4,2010,0
ABBOTTSFIELD,53.57228237,-113.3846562,5,2010,0
ALBANY,53.63160365,-113.5602451,1,3460,1
ALBANY,53.63370674,-113.5535076,2,3460,1
ALBANY,53.63453595,-113.551538,3,3460,1
ALBANY,53.63605254,-113.5474257,4,3460,1
ALBANY,53.63604792,-113.5413454,5,3460,1
ALBERTA AVENUE,53.57661667,-113.4922573,1,1010,2
ALBERTA AVENUE,53.57662685,-113.4904175,2,1010,2
ALBERTA AVENUE,53.576625,-113.4888746,3,1010,2
ALBERTA AVENUE,53.5766257,-113.4873327,4,1010,2
ALBERTA AVENUE,53.57662303,-113.4857773,5,1010,2
ALBERTA PARK INDUSTRIAL,53.56653798,-113.5904104,1,4010,3
ALBERTA PARK INDUSTRIAL,53.56559335,-113.5903945,2,4010,3
ALBERTA PARK INDUSTRIAL,53.56306681,-113.5904057,3,4010,3
ALBERTA PARK INDUSTRIAL,53.56304828,-113.5971467,4,4010,3
ALBERTA PARK INDUSTRIAL,53.56303164,-113.6027761,5,4010,3
